gemeente,start_date,source
Almere,1/1/2028,dutchcycling.nl Cargo Bike ZEZ report (2024)
Alphen aan den Rijn,1/7/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Amersfoort,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Amsterdam,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Apeldoorn,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Arnhem,1/6/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Assen,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Delft,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
's-Gravenhage,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Deventer,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Dordrecht,1/1/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Ede,1/1/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Eindhoven,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Enschede,1/7/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Gouda,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Groningen,1/4/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Haarlem,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Hilversum,1/1/2027,dutchcycling.nl Cargo Bike ZEZ report (2024)
's-Hertogenbosch,1/3/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Leiden,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Maastricht,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Nijmegen,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Rotterdam,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Haarlemmermeer,1/1/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Tilburg,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Utrecht,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
Venlo,1/1/2027,dutchcycling.nl Cargo Bike ZEZ report (2024)
Zaanstad,1/1/2026,dutchcycling.nl Cargo Bike ZEZ report (2024)
Zwolle,1/1/2025,dutchcycling.nl Cargo Bike ZEZ report (2024)
